"","genes","cluster"
"lpl2_a_DN354_c0_g1_i3","lpl2_a_DN354_c0_g1_i3",1
"lpl2_a_DN350_c0_g1_i1","lpl2_a_DN350_c0_g1_i1",1
"lpl2_a_DN394_c0_g1_i3","lpl2_a_DN394_c0_g1_i3",1
"lpl2_a_DN8135_c0_g1_i1","lpl2_a_DN8135_c0_g1_i1",1
"lpl2_a_DN732_c0_g3_i1","lpl2_a_DN732_c0_g3_i1",1
"lpl2_a_DN719_c0_g1_i3","lpl2_a_DN719_c0_g1_i3",1
"lpl2_a_DN22802_c0_g1_i3","lpl2_a_DN22802_c0_g1_i3",1
"lpl2_a_DN22866_c0_g1_i1","lpl2_a_DN22866_c0_g1_i1",1
"lpl2_a_DN437_c0_g1_i4","lpl2_a_DN437_c0_g1_i4",1
"lpl2_a_DN437_c0_g2_i4","lpl2_a_DN437_c0_g2_i4",1
"lpl2_a_DN414_c0_g1_i5","lpl2_a_DN414_c0_g1_i5",1
"lpl2_a_DN411_c0_g2_i1","lpl2_a_DN411_c0_g2_i1",1
"lpl2_a_DN429_c0_g1_i3","lpl2_a_DN429_c0_g1_i3",1
"lpl2_a_DN431_c0_g1_i11","lpl2_a_DN431_c0_g1_i11",1
"lpl2_a_DN442_c0_g2_i2","lpl2_a_DN442_c0_g2_i2",1
"lpl2_a_DN479_c0_g1_i1","lpl2_a_DN479_c0_g1_i1",1
"lpl2_a_DN415_c0_g2_i1","lpl2_a_DN415_c0_g2_i1",1
"lpl2_a_DN477_c0_g1_i1","lpl2_a_DN477_c0_g1_i1",1
"lpl2_a_DN12200_c0_g1_i1","lpl2_a_DN12200_c0_g1_i1",1
"lpl2_a_DN12248_c0_g1_i1","lpl2_a_DN12248_c0_g1_i1",1
"lpl2_a_DN12239_c0_g1_i2","lpl2_a_DN12239_c0_g1_i2",1
"lpl2_a_DN1226_c0_g1_i5","lpl2_a_DN1226_c0_g1_i5",1
"lpl2_a_DN20210_c0_g1_i1","lpl2_a_DN20210_c0_g1_i1",1
"lpl2_a_DN6585_c1_g1_i1","lpl2_a_DN6585_c1_g1_i1",1
"lpl2_a_DN1807_c0_g1_i1","lpl2_a_DN1807_c0_g1_i1",1
"lpl2_a_DN100_c0_g2_i1","lpl2_a_DN100_c0_g2_i1",1
"lpl2_a_DN147_c0_g1_i3","lpl2_a_DN147_c0_g1_i3",1
"lpl2_a_DN171_c0_g1_i8","lpl2_a_DN171_c0_g1_i8",1
"lpl2_a_DN108_c0_g3_i1","lpl2_a_DN108_c0_g3_i1",1
"lpl2_a_DN137_c0_g1_i4","lpl2_a_DN137_c0_g1_i4",1
"lpl2_a_DN186_c0_g1_i1","lpl2_a_DN186_c0_g1_i1",1
"lpl2_a_DN122_c0_g1_i15","lpl2_a_DN122_c0_g1_i15",1
"lpl2_a_DN122_c0_g1_i18","lpl2_a_DN122_c0_g1_i18",1
"lpl2_a_DN112_c0_g1_i6","lpl2_a_DN112_c0_g1_i6",1
"lpl2_a_DN105_c0_g1_i2","lpl2_a_DN105_c0_g1_i2",1
"lpl2_a_DN119_c0_g1_i2","lpl2_a_DN119_c0_g1_i2",1
"lpl2_a_DN22705_c0_g1_i1","lpl2_a_DN22705_c0_g1_i1",1
"lpl2_a_DN2245_c1_g1_i2","lpl2_a_DN2245_c1_g1_i2",1
"lpl2_a_DN2511_c0_g1_i1","lpl2_a_DN2511_c0_g1_i1",1
"lpl2_a_DN3429_c0_g1_i1","lpl2_a_DN3429_c0_g1_i1",1
"lpl2_a_DN1931_c0_g1_i1","lpl2_a_DN1931_c0_g1_i1",1
"lpl2_b_DN79_c0_g1_i6","lpl2_b_DN79_c0_g1_i6",1
"lpl2_b_DN61_c0_g1_i2","lpl2_b_DN61_c0_g1_i2",1
"lpl2_b_DN2_c0_g1_i40","lpl2_b_DN2_c0_g1_i40",1
"lpl2_b_DN2_c0_g1_i50","lpl2_b_DN2_c0_g1_i50",1
"lpl2_b_DN2_c0_g1_i9","lpl2_b_DN2_c0_g1_i9",1
"lpl2_b_DN94_c0_g1_i5","lpl2_b_DN94_c0_g1_i5",1
"lpl2_b_DN26_c0_g1_i1","lpl2_b_DN26_c0_g1_i1",1
"lpl2_b_DN11_c0_g2_i4","lpl2_b_DN11_c0_g2_i4",1
"lpl2_b_DN12_c0_g1_i30","lpl2_b_DN12_c0_g1_i30",1
"lpl2_b_DN12_c3_g2_i1","lpl2_b_DN12_c3_g2_i1",1
"lpl2_b_DN12_c47_g1_i1","lpl2_b_DN12_c47_g1_i1",1
"lpl2_b_DN27_c0_g2_i3","lpl2_b_DN27_c0_g2_i3",1
"lpl2_b_DN88_c0_g2_i11","lpl2_b_DN88_c0_g2_i11",1
"lpl2_b_DN48_c0_g1_i12","lpl2_b_DN48_c0_g1_i12",1
"lpl2_b_DN0_c0_g1_i5","lpl2_b_DN0_c0_g1_i5",1
"lpl2_b_DN3_c0_g1_i38","lpl2_b_DN3_c0_g1_i38",1
"lpl2_b_DN635_c0_g2_i1","lpl2_b_DN635_c0_g2_i1",1
"lpl2_b_DN10776_c0_g1_i1","lpl2_b_DN10776_c0_g1_i1",1
"lpl2_b_DN134_c1_g1_i8","lpl2_b_DN134_c1_g1_i8",1
